Title,Genre,Duration,Rating,Votes
Purushothamudu,Comedy,2h,4.9,(2.2K)
Get Close 2,Comedy,N/A,5.7,(44)
Hrashwo Deergha,Comedy,2h 30m,7.9,(79)
Petta Rap,Comedy,2h 3m,4.2,(1.7K)
Mechanic Rocky,Comedy,2h 36m,6.5,(3.4K)
Go for Broke,Comedy,1h 55m,5.6,(267)
Hotel Underground,Comedy,N/A,7.4,(59)
Wandafuru Purikyua! Za mubi! Doki Doki Game no Sekai de Daiboken,Comedy,1h 11m,6.8,(25)
Anthima Theerpu,Comedy,2h 13m,8.1,(1.5K)
The Alexandrian,Comedy,1h 44m,3.9,(246)
Raqa,Comedy,1h 47m,6.4,(56)
Dark Fusion,Comedy,1h 30m,8.5,(233)
Taken from Rio Bravo,Comedy,1h 20m,3.0,(307)
Bhaje Vaayu Vegam,Comedy,2h 16m,6.1,(540)
The Grey Men,Comedy,1h 37m,6.5,(69)
The Plot,Comedy,1h 40m,4.8,(359)
Sentimentaaal,Comedy,2h 15m,5.8,(970)
Dreams,Comedy,1h 46m,N/A,N/A
Bandaa Singh Chaudhary,Comedy,1h 53m,6.3,(5.2K)
Pranaya Godari,Comedy,2h 28m,7.8,(2.4K)
Bull Shark 2,Comedy,N/A,2.9,(150)
Rebel,Comedy,1h 40m,3.2,(63)
Death Game,Comedy,1h 28m,6.3,(24)
Roxana,Comedy,1h 38m,4.0,(63)
Thug in a Suit,Comedy,1h 40m,6.0,(137)
"Fool Me Once, Revenge on You",Comedy,N/A,7.0,(8)
Shockwaves 2,Comedy,1h 19m,2.8,(146)
Breaking and Re-entering,Comedy,1h 49m,5.8,(427)
Warning 2,Comedy,2h 5m,7.1,(878)
Next to Us,Comedy,2h 5m,4.9,(220)
Mazhai Pidikatha Manithan,Comedy,2h 13m,4.5,(416)
Oru Anveshanathinte Thudakkam,Comedy,3h 1m,7.1,(830)
The Experts,Comedy,2h 1m,6.2,(258)
Purushothamudu,Comedy,2h,7.7,(12)
The Wolfman,Comedy,N/A,N/A,N/A
Saala,Comedy,2h 10m,5.9,(1.1K)
Election,Comedy,2h,5.9,(805)
Premalo,Comedy,2h 8m,7.3,(1.1K)
Sabari,Comedy,2h 9m,8.4,(5.4K)
Losing Lerato 2,Comedy,1h 36m,9.1,(29)
Correr para Vivir,Comedy,1h 37m,7.0,(193)
Black Storm,Comedy,1h 37m,6.6,(65)
Türkler Çildirmis Olmali 2: Mavi Vatan,Comedy,1h 40m,2.2,(152)
Por,Comedy,2h 34m,5.0,(605)
Samandar,Comedy,2h 52m,7.6,(136)
